                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,      train/loss_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,      train/loss_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
43,0.98546,0.74519,1.4437,9.929095,1.0543,0.78542,1.4947,10.54201,0.87843,0.89731,0.94747,0.70437,0.92397,0.58231,1.4761,0.95761,0.53253,1.5114,0.0079705,0.0079705,0.0079705
44,0.98075,0.72161,1.4418,9.87913,1.0539,0.75293,1.4914,10.517815,0.8909,0.87286,0.94701,0.71133,0.93692,0.59374,1.4765,0.98096,0.51921,1.5272,0.007921,0.007921,0.007921
45,0.97423,0.71326,1.419,9.791855,1.0435,0.73231,1.464,10.388405,0.89999,0.88009,0.95428,0.7053,0.95881,0.56437,1.4776,1.0046,0.50086,1.5364,0.0078715,0.0078715,0.0078715
46,0.97669,0.714,1.4232,9.816975,1.0543,0.74155,1.47,10.483025,0.87586,0.89487,0.94877,0.71045,0.94176,0.57647,1.4694,0.98445,0.51308,1.5049,0.007822,0.007822,0.007822
47,0.9695,0.71326,1.4203,9.75833,1.0426,0.74676,1.4629,10.38723,0.88448,0.86109,0.9486,0.71792,0.91795,0.56827,1.4453,0.93567,0.52392,1.4631,0.0077725,0.0077725,0.0077725
48,0.9659,0.68884,1.4122,9.70697,1.0306,0.72989,1.453,10.273945,0.87143,0.90709,0.94858,0.70689,0.90663,0.57771,1.4326,0.93991,0.51941,1.4575,0.007723,0.007723,0.007723
49,0.96116,0.69054,1.3962,9.64827,1.036,0.70694,1.431,10.26997,0.85657,0.91994,0.95267,0.71315,0.93339,0.54528,1.4653,0.96963,0.506,1.483,0.0076735,0.0076735,0.0076735
50,0.96331,0.70133,1.4057,9.68404,1.042,0.72355,1.4504,10.352375,0.9032,0.89731,0.95984,0.72225,0.90872,0.54678,1.4414,0.90975,0.5003,1.4506,0.007624,0.007624,0.007624
51,0.95568,0.69225,1.4054,9.621825,1.0179,0.72158,1.4485,10.16779,0.85498,0.92252,0.96002,0.72113,0.91657,0.55451,1.4444,0.94694,0.48419,1.4783,0.0075745,0.0075745,0.0075745
52,0.95586,0.67974,1.403,9.61332,1.0253,0.70248,1.44,10.20099,0.92844,0.85651,0.95679,0.71359,0.91568,0.55337,1.4432,0.95142,0.49597,1.4656,0.007525,0.007525,0.007525
53,0.94925,0.68677,1.3886,9.54566,1.0246,0.70379,1.422,10.169395,0.87908,0.90655,0.95617,0.71772,0.90568,0.56304,1.4227,0.95938,0.48254,1.4481,0.0074755,0.0074755,0.0074755
54,0.94937,0.68253,1.3988,9.55974,1.0108,0.69311,1.4288,10.070755,0.93574,0.89013,0.96452,0.73117,0.89929,0.55499,1.4365,0.93427,0.48573,1.4599,0.007426,0.007426,0.007426
55,0.9382,0.68471,1.3861,9.458005,1.0124,0.69373,1.4365,10.094615,0.9195,0.85819,0.95012,0.72331,0.87603,0.55431,1.3959,0.9299,0.50822,1.4494,0.0073765,0.0073765,0.0073765
56,0.93538,0.6831,1.3739,9.41775,1.0078,0.69754,1.4271,10.04792,0.89244,0.89731,0.95863,0.72738,0.8823,0.55829,1.4023,0.92727,0.50532,1.4314,0.007327,0.007327,0.007327
57,0.91552,0.6398,1.3674,9.2374,0.98512,0.64295,1.4085,9.822625,0.90007,0.90288,0.96056,0.73931,0.87566,0.54112,1.4074,0.89856,0.45501,1.435,0.0072775,0.0072775,0.0072775
58,0.90687,0.64438,1.3561,9.157865,0.97365,0.6612,1.3841,9.709125,0.90643,0.89998,0.9624,0.72581,0.88761,0.5126,1.4186,0.92049,0.44985,1.4428,0.007228,0.007228,0.007228
59,0.92104,0.66548,1.3729,9.29989,0.98351,0.69687,1.4062,9.83406,0.88144,0.94525,0.96484,0.7316,0.87959,0.51348,1.4011,0.9328,0.43726,1.4427,0.0071785,0.0071785,0.0071785
60,0.91843,0.64543,1.363,9.25544,0.98783,0.66133,1.4102,9.85469,0.89515,0.89761,0.95911,0.73074,0.90178,0.52792,1.4268,0.92377,0.46432,1.459,0.007129,0.007129,0.007129
61,0.90471,0.6517,1.3464,9.130775,0.96969,0.66197,1.3934,9.69376,0.90362,0.89405,0.95744,0.73575,0.86533,0.51962,1.3789,0.89594,0.44727,1.4291,0.0070795,0.0070795,0.0070795
62,0.91175,0.63973,1.3548,9.19019,0.98132,0.64569,1.4003,9.783195,0.91663,0.88712,0.96262,0.73107,0.898,0.52306,1.4033,0.95195,0.46195,1.4668,0.00703,0.00703,0.00703
63,0.89993,0.63024,1.3442,9.080895,0.96129,0.65232,1.3884,9.618435,0.89584,0.91443,0.96317,0.72706,0.90587,0.52266,1.4202,0.92739,0.47187,1.4374,0.0069805,0.0069805,0.0069805
64,0.89817,0.6279,1.3481,9.072375,0.96446,0.63583,1.3845,9.628115,0.88928,0.93399,0.97144,0.74101,0.86826,0.50139,1.4076,0.91392,0.41447,1.4324,0.006931,0.006931,0.006931
65,0.90255,0.62895,1.3464,9.1032,0.96655,0.64502,1.3893,9.655585,0.90623,0.89731,0.96755,0.74296,0.87469,0.49763,1.3928,0.88253,0.44445,1.4057,0.0068815,0.0068815,0.0068815
66,0.91395,0.65067,1.3579,9.21681,0.98664,0.67322,1.4065,9.84616,0.87099,0.90954,0.95364,0.72962,0.87493,0.52722,1.3859,0.8864,0.50222,1.4107,0.006832,0.006832,0.006832
67,0.89522,0.62173,1.3386,9.032915,0.95828,0.63497,1.3887,9.587635,0.91977,0.89692,0.95936,0.73841,0.85073,0.51383,1.362,0.87799,0.4644,1.3973,0.0067825,0.0067825,0.0067825
68,0.89278,0.63067,1.3399,9.021035,0.96144,0.62694,1.3873,9.60522,0.94522,0.88595,0.97116,0.741,0.86407,0.49238,1.3778,0.8929,0.4045,1.415,0.006733,0.006733,0.006733
69,0.8879,0.6353,1.3364,8.9815,0.95524,0.65328,1.3757,9.55449,0.89399,0.90718,0.95692,0.73228,0.85086,0.50648,1.37,0.88169,0.45748,1.3951,0.0066835,0.0066835,0.0066835
70,0.88026,0.61858,1.3247,8.89829,0.94487,0.6163,1.3675,9.445925,0.92689,0.89895,0.96581,0.74096,0.85914,0.51465,1.3771,0.88697,0.44493,1.4169,0.006634,0.006634,0.006634
71,0.8906,0.63015,1.3371,9.000225,0.96962,0.63831,1.3902,9.676605,0.907,0.92998,0.9694,0.74104,0.86766,0.50244,1.3753,0.89473,0.41572,1.4102,0.0065845,0.0065845,0.0065845
72,0.87312,0.60473,1.3186,8.828665,0.93882,0.60645,1.3648,9.391575,0.88179,0.93019,0.96462,0.7442,0.83333,0.48534,1.3731,0.85488,0.43498,1.3886,0.006535,0.006535,0.006535
73,0.87008,0.61397,1.3219,8.815435,0.93901,0.62646,1.3654,9.403905,0.90128,0.90709,0.96438,0.74665,0.82799,0.50355,1.3467,0.84993,0.45583,1.374,0.0064855,0.0064855,0.0064855
74,0.87226,0.6063,1.3307,8.84115,0.93447,0.59998,1.3669,9.358865,0.94883,0.90681,0.9749,0.75064,0.84765,0.49627,1.3646,0.87657,0.41047,1.3985,0.006436,0.006436,0.006436
75,0.87876,0.61805,1.3326,8.898625,0.95153,0.61631,1.3813,9.51658,0.8923,0.95355,0.96707,0.74801,0.8415,0.49979,1.3595,0.87685,0.41821,1.3947,0.0063865,0.0063865,0.0063865
76,0.86738,0.5988,1.3123,8.7732,0.93568,0.59428,1.353,9.34424,0.89689,0.91451,0.96984,0.74241,0.84774,0.50374,1.3524,0.85925,0.46284,1.3752,0.006337,0.006337,0.006337
77,0.86868,0.60141,1.3187,8.793855,0.93261,0.6241,1.3619,9.349475,0.90901,0.93399,0.9734,0.73847,0.88012,0.51674,1.3885,0.89661,0.44169,1.4202,0.0062875,0.0062875,0.0062875
78,0.85294,0.5874,1.2995,8.64,0.92028,0.58673,1.343,9.209965,0.90189,0.89976,0.96642,0.74741,0.84694,0.51037,1.3577,0.87998,0.44482,1.3892,0.006238,0.006238,0.006238
79,0.85681,0.5966,1.3101,8.689525,0.9153,0.59568,1.3509,9.18894,0.89669,0.93399,0.96772,0.75171,0.84418,0.4894,1.3616,0.86804,0.4298,1.3906,0.0061885,0.0061885,0.0061885
80,0.85758,0.58317,1.3039,8.679285,0.91971,0.57351,1.3478,9.20628,0.91191,0.93653,0.96823,0.74225,0.85083,0.48936,1.366,0.88305,0.40044,1.4058,0.006139,0.006139,0.006139
81,0.85821,0.59148,1.3054,8.690415,0.92224,0.60924,1.3473,9.24237,0.92564,0.9022,0.97044,0.74421,0.84485,0.47219,1.3683,0.86801,0.41287,1.4064,0.0060895,0.0060895,0.0060895
82,0.84963,0.58508,1.3029,8.619115,0.91669,0.59398,1.3555,9.205415,0.90276,0.91687,0.96746,0.74385,0.84236,0.49183,1.3447,0.87309,0.43233,1.3925,0.00604,0.00604,0.00604
83,0.85335,0.60074,1.3097,8.665045,0.91988,0.60932,1.3615,9.24601,0.8703,0.94377,0.96262,0.73926,0.86533,0.49829,1.3806,0.91072,0.42142,1.4402,0.0059905,0.0059905,0.0059905
84,0.84795,0.5803,1.2965,8.594525,0.91024,0.57743,1.3409,9.126865,0.93294,0.91443,0.97495,0.75331,0.83951,0.48076,1.3556,0.88631,0.40471,1.396,0.005941,0.005941,0.005941
85,0.83446,0.57483,1.2874,8.476965,0.89666,0.5668,1.3284,9.00095,0.93151,0.92421,0.9744,0.75296,0.86675,0.49594,1.3918,0.87164,0.41339,1.4138,0.0058915,0.0058915,0.0058915
86,0.84256,0.57688,1.2925,8.54639,0.91115,0.56344,1.3339,9.116195,0.93218,0.90737,0.97021,0.75026,0.84009,0.49491,1.3515,0.85281,0.42901,1.3596,0.005842,0.005842,0.005842
87,0.84502,0.57476,1.2945,8.56678,0.91211,0.55961,1.3306,9.11653,0.90538,0.93399,0.97072,0.75328,0.82231,0.48173,1.3394,0.83294,0.44053,1.3456,0.0057925,0.0057925,0.0057925
88,0.84251,0.5721,1.2865,8.534625,0.91177,0.56238,1.3222,9.102765,0.89398,0.93399,0.96782,0.74666,0.86851,0.48934,1.364,0.89934,0.42316,1.3895,0.005743,0.005743,0.005743
89,0.84041,0.57118,1.2821,8.511815,0.91168,0.5514,1.3258,9.102,0.90858,0.92339,0.96859,0.75347,0.81583,0.47621,1.3342,0.8413,0.41574,1.3675,0.0056935,0.0056935,0.0056935
90,0.83186,0.5604,1.2768,8.43435,0.89421,0.54228,1.3191,8.956365,0.90834,0.92176,0.96694,0.74755,0.862,0.48835,1.3711,0.87719,0.46123,1.3964,0.005644,0.005644,0.005644
91,0.82273,0.54896,1.2664,8.344555,0.88662,0.52951,1.308,8.876405,0.9045,0.94941,0.97417,0.75279,0.84693,0.46459,1.3547,0.86649,0.42076,1.3774,0.0055945,0.0055945,0.0055945
92,0.81913,0.55486,1.2689,8.324255,0.87785,0.55438,1.3076,8.822465,0.92891,0.92654,0.97813,0.759,0.83764,0.47916,1.3472,0.86963,0.4078,1.3776,0.005545,0.005545,0.005545
93,0.82107,0.55215,1.2687,8.33715,0.87707,0.5609,1.3014,8.810575,0.92175,0.91687,0.9726,0.7557,0.83952,0.47374,1.3607,0.87077,0.42208,1.3821,0.0054955,0.0054955,0.0054955
94,0.81351,0.5545,1.2719,8.286425,0.87994,0.57594,1.3112,8.85432,0.91101,0.92609,0.97478,0.75362,0.85257,0.45122,1.39,0.87745,0.38134,1.4024,0.005446,0.005446,0.005446
95,0.82117,0.56,1.2771,8.354425,0.8829,0.56123,1.3162,8.876665,0.90878,0.94997,0.97182,0.75083,0.85426,0.46464,1.3658,0.88279,0.3875,1.3768,0.0053965,0.0053965,0.0053965
96,0.80242,0.54602,1.2538,8.17186,0.86241,0.53751,1.2932,8.67663,0.93837,0.89976,0.97687,0.76095,0.84804,0.47281,1.3678,0.8805,0.4031,1.4076,0.005347,0.005347,0.005347
97,0.81064,0.5415,1.2698,8.25525,0.86772,0.52979,1.307,8.733295,0.90948,0.93353,0.97539,0.75615,0.83144,0.46064,1.3536,0.86018,0.41352,1.3667,0.0052975,0.0052975,0.0052975
98,0.81677,0.55769,1.2753,8.31757,0.8805,0.54433,1.3132,8.845715,0.90388,0.9511,0.97439,0.76574,0.82196,0.48035,1.3475,0.84396,0.38305,1.3618,0.005248,0.005248,0.005248
99,0.82178,0.56138,1.2763,8.35849,0.88463,0.54788,1.3063,8.868115,0.94463,0.91932,0.9757,0.76069,0.85255,0.46349,1.3859,0.87326,0.39899,1.3832,0.0051985,0.0051985,0.0051985
100,0.79901,0.54079,1.2662,8.16227,0.8555,0.52833,1.2915,8.617665,0.90005,0.93643,0.97294,0.75128,0.86075,0.47119,1.3885,0.8782,0.40217,1.4092,0.005149,0.005149,0.005149
101,0.80874,0.54231,1.2592,8.225505,0.87492,0.54273,1.2892,8.767065,0.90542,0.94377,0.97607,0.75253,0.84692,0.45243,1.3721,0.86579,0.39824,1.3694,0.0050995,0.0050995,0.0050995
102,0.80001,0.5391,1.2672,8.170425,0.86085,0.54863,1.2946,8.67259,0.8969,0.95713,0.97472,0.76383,0.85063,0.45063,1.3786,0.85641,0.38994,1.3506,0.00505,0.00505,0.00505
103,0.80491,0.54157,1.254,8.18861,0.86218,0.53451,1.2849,8.660955,0.91435,0.94377,0.97716,0.7622,0.84221,0.47873,1.3641,0.855,0.40366,1.3535,0.0050005,0.0050005,0.0050005
104,0.79388,0.53034,1.2492,8.09307,0.8544,0.51877,1.2895,8.601635,0.91156,0.95599,0.97414,0.76328,0.8224,0.46706,1.3366,0.85417,0.39261,1.3744,0.004951,0.004951,0.004951
105,0.79254,0.52046,1.2498,8.07898,0.85374,0.49676,1.2861,8.58058,0.92401,0.95355,0.97699,0.76136,0.84598,0.45387,1.3755,0.87951,0.36557,1.4073,0.0049015,0.0049015,0.0049015
106,0.78693,0.51855,1.2505,8.037,0.8484,0.49965,1.2913,8.549775,0.91372,0.95355,0.98044,0.76272,0.82529,0.47559,1.347,0.85574,0.41466,1.3678,0.004852,0.004852,0.004852
107,0.79007,0.52406,1.2474,8.058655,0.85645,0.51654,1.2968,8.626845,0.94785,0.93315,0.98028,0.7623,0.86117,0.442,1.3941,0.87513,0.37179,1.4073,0.0048025,0.0048025,0.0048025
108,0.78801,0.53046,1.2458,8.044005,0.85062,0.53693,1.282,8.571115,0.91012,0.94866,0.97692,0.76005,0.83475,0.45993,1.3599,0.85641,0.41104,1.365,0.004753,0.004753,0.004753
109,0.78356,0.51418,1.241,7.99529,0.84337,0.51453,1.2755,8.49579,0.90139,0.94621,0.9729,0.76309,0.83987,0.46348,1.3694,0.8568,0.40003,1.3832,0.0047035,0.0047035,0.0047035
110,0.7825,0.5181,1.2451,7.99545,0.83485,0.51614,1.28,8.439445,0.93914,0.92421,0.97868,0.7678,0.83518,0.46934,1.349,0.85174,0.38444,1.3622,0.004654,0.004654,0.004654
