               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
135,0.016235,0.010199,0,0.091374,0.93861,0.97202,0.98179,0.78528,0.017075,0.0080021,0,0.003367,0.003367,0.003367
136,0.016222,0.01035,0,0.09146,0.94211,0.95502,0.97926,0.78681,0.016714,0.0078847,0,0.0033175,0.0033175,0.0033175
137,0.01611,0.010413,0,0.090963,0.93435,0.96822,0.9813,0.79095,0.016729,0.0078345,0,0.003268,0.003268,0.003268
138,0.01599,0.01026,0,0.09021,0.94878,0.96333,0.98605,0.78425,0.017067,0.0080388,0,0.0032185,0.0032185,0.0032185
139,0.015695,0.010185,0,0.08866,0.94722,0.96577,0.9827,0.79023,0.016929,0.0078797,0,0.003169,0.003169,0.003169
140,0.015782,0.010109,0,0.089019,0.95322,0.94665,0.98057,0.79181,0.016746,0.0078334,0,0.0031195,0.0031195,0.0031195
141,0.016039,0.010176,0,0.090371,0.94691,0.95942,0.98196,0.79349,0.016648,0.0078872,0,0.00307,0.00307,0.00307
142,0.015838,0.0099124,0,0.0891024,0.94492,0.96474,0.98154,0.79557,0.016913,0.0079216,0,0.0030205,0.0030205,0.0030205
143,0.016123,0.010264,0,0.090879,0.93123,0.97555,0.98297,0.79612,0.016692,0.0077721,0,0.002971,0.002971,0.002971
144,0.015785,0.010174,0,0.089099,0.95834,0.95622,0.98352,0.79364,0.016634,0.0076832,0,0.0029215,0.0029215,0.0029215
145,0.015822,0.01004,0,0.08915,0.95611,0.9587,0.98169,0.79226,0.016753,0.0078305,0,0.002872,0.002872,0.002872
146,0.015576,0.010141,0,0.088021,0.96416,0.95844,0.98186,0.79029,0.016792,0.0078225,0,0.0028225,0.0028225,0.0028225
147,0.015584,0.0097556,0,0.0876756,0.95212,0.95599,0.9836,0.79064,0.016798,0.007877,0,0.002773,0.002773,0.002773
148,0.015584,0.0098225,0,0.0877425,0.94302,0.97311,0.98408,0.79372,0.016774,0.0079226,0,0.0027235,0.0027235,0.0027235
149,0.015456,0.0099389,0,0.0872189,0.94958,0.96703,0.98419,0.79569,0.016723,0.0078321,0,0.002674,0.002674,0.002674
