epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,915.379,0.84696,0.58151,1.26039,8.53354,0.91839,0.96307,0.97497,0.77732,0.82835,0.47208,1.29757,0.0054955,0.0054955,0.0054955
93,924.588,0.84938,0.57595,1.26626,8.557715,0.9144,0.96634,0.97596,0.77663,0.82974,0.47758,1.28809,0.005446,0.005446,0.005446
94,933.919,0.83566,0.57128,1.25323,8.432935,0.92728,0.93533,0.9755,0.76537,0.85448,0.49154,1.30557,0.0053965,0.0053965,0.0053965
95,943.18,0.83708,0.56431,1.24855,8.43308,0.92992,0.94866,0.97828,0.7806,0.84113,0.46998,1.30375,0.005347,0.005347,0.005347
96,952.692,0.83695,0.57341,1.26015,8.454055,0.92531,0.93893,0.97773,0.77752,0.82601,0.47959,1.29437,0.0052975,0.0052975,0.0052975
97,962.068,0.83548,0.56126,1.25667,8.431735,0.93456,0.94284,0.97743,0.77957,0.84183,0.47466,1.31695,0.005248,0.005248,0.005248
98,971.294,0.82244,0.55921,1.24095,8.30933,0.8949,0.98289,0.97613,0.77693,0.83887,0.4706,1.32456,0.0051985,0.0051985,0.0051985
99,980.549,0.82721,0.56256,1.25107,8.36196,0.92154,0.96333,0.97503,0.7736,0.82249,0.48049,1.30189,0.005149,0.005149,0.005149
100,989.921,0.81295,0.54664,1.23431,8.22191,0.91904,0.97066,0.97962,0.77947,0.84369,0.47094,1.30584,0.0050995,0.0050995,0.0050995
101,999.321,0.82642,0.56272,1.25357,8.359865,0.91047,0.94621,0.97034,0.76844,0.838,0.48614,1.30495,0.00505,0.00505,0.00505
102,1008.88,0.81323,0.55581,1.23697,8.232585,0.91425,0.96577,0.97687,0.78355,0.84084,0.45807,1.30889,0.0050005,0.0050005,0.0050005
103,1018.44,0.81906,0.54663,1.24145,8.27844,0.90846,0.96333,0.97789,0.77734,0.82707,0.4588,1.29526,0.004951,0.004951,0.004951
104,1027.96,0.80999,0.53821,1.23273,8.193125,0.90736,0.97311,0.97319,0.77301,0.83682,0.46895,1.29776,0.0049015,0.0049015,0.0049015
105,1037.56,0.81025,0.55072,1.2317,8.199785,0.92356,0.95844,0.97744,0.78412,0.82838,0.4569,1.30197,0.004852,0.004852,0.004852
106,1047.22,0.80692,0.54817,1.23731,8.18195,0.93197,0.94621,0.9759,0.77917,0.83643,0.47138,1.30478,0.0048025,0.0048025,0.0048025
107,1056.89,0.80475,0.53937,1.23177,8.152965,0.91321,0.95187,0.97259,0.78084,0.83959,0.46904,1.30764,0.004753,0.004753,0.004753
108,1066.47,0.80045,0.54797,1.22949,8.121595,0.92755,0.9511,0.97835,0.77891,0.85104,0.46477,1.31756,0.0047035,0.0047035,0.0047035
109,1076.15,0.79785,0.53437,1.21939,8.080145,0.92755,0.93909,0.97801,0.78688,0.83879,0.45213,1.30126,0.004654,0.004654,0.004654
