epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2235.38,0.69759,0.46219,1.15359,0.92505,0.94621,0.97902,0.78921,0.8036,0.44044,1.30257,0.0058915,0.0058915,0.0058915
85,2261.43,0.69873,0.45369,1.15998,0.93208,0.97299,0.97942,0.77428,0.83119,0.43172,1.35836,0.005842,0.005842,0.005842
86,2287.51,0.699,0.45281,1.16463,0.9433,0.93888,0.98049,0.78467,0.80268,0.44559,1.31337,0.0057925,0.0057925,0.0057925
87,2313.48,0.68978,0.4507,1.15198,0.94266,0.94866,0.97943,0.78387,0.8063,0.44326,1.32737,0.005743,0.005743,0.005743
88,2339.52,0.69581,0.44973,1.15746,0.9352,0.9291,0.97601,0.79159,0.78467,0.45483,1.3063,0.0056935,0.0056935,0.0056935
89,2365.56,0.68632,0.44688,1.14522,0.90813,0.96677,0.97837,0.78822,0.79148,0.44452,1.30265,0.005644,0.005644,0.005644
90,2391.63,0.69396,0.44408,1.1526,0.92686,0.96057,0.97648,0.77599,0.80163,0.44072,1.31698,0.0055945,0.0055945,0.0055945
91,2417.55,0.68632,0.44638,1.1565,0.9327,0.94883,0.98004,0.79725,0.78632,0.43437,1.31203,0.005545,0.005545,0.005545
92,2443.73,0.68956,0.44967,1.14959,0.9506,0.93888,0.98111,0.78685,0.78722,0.42884,1.3019,0.0054955,0.0054955,0.0054955
93,2469.81,0.6874,0.44996,1.15682,0.92807,0.95355,0.98277,0.79725,0.80894,0.42791,1.32809,0.005446,0.005446,0.005446
94,2495.72,0.67647,0.44047,1.14764,0.92602,0.97311,0.97864,0.78713,0.79021,0.43767,1.3093,0.0053965,0.0053965,0.0053965
95,2521.75,0.66863,0.43521,1.13448,0.93405,0.95844,0.98014,0.7979,0.79672,0.41785,1.31444,0.005347,0.005347,0.005347
96,2547.77,0.67129,0.43843,1.14053,0.94225,0.92421,0.97761,0.78681,0.81729,0.4349,1.33666,0.0052975,0.0052975,0.0052975
97,2573.72,0.67424,0.43383,1.1429,0.91645,0.96822,0.97633,0.7718,0.82868,0.43134,1.3735,0.005248,0.005248,0.005248
98,2599.77,0.66206,0.43428,1.12949,0.91893,0.97004,0.97842,0.79094,0.80706,0.41131,1.34094,0.0051985,0.0051985,0.0051985
99,2625.83,0.66184,0.4289,1.13443,0.92481,0.96577,0.98233,0.80149,0.77992,0.4264,1.29794,0.005149,0.005149,0.005149
100,2651.89,0.65402,0.41792,1.12441,0.9371,0.93888,0.98013,0.788,0.79967,0.45044,1.31493,0.0050995,0.0050995,0.0050995
101,2678.06,0.66709,0.42421,1.13959,0.91626,0.97066,0.97996,0.7969,0.79384,0.43132,1.30764,0.00505,0.00505,0.00505
102,2704.14,0.65261,0.42436,1.12629,0.93085,0.95844,0.97459,0.78472,0.77633,0.42546,1.31558,0.0050005,0.0050005,0.0050005
103,2730.11,0.6577,0.41624,1.13146,0.93073,0.95272,0.98146,0.80829,0.77496,0.42359,1.29693,0.004951,0.004951,0.004951
104,2756.76,0.6505,0.40886,1.11896,0.92704,0.9511,0.97885,0.79536,0.7904,0.42926,1.31884,0.0049015,0.0049015,0.0049015
105,2782.82,0.65073,0.41766,1.12451,0.90785,0.97311,0.98167,0.79358,0.79391,0.43487,1.31187,0.004852,0.004852,0.004852
106,2809.01,0.64861,0.41593,1.12394,0.91916,0.95844,0.97792,0.79463,0.78673,0.4223,1.30541,0.0048025,0.0048025,0.0048025
107,2835.08,0.6459,0.41778,1.12001,0.92066,0.96466,0.97697,0.78874,0.79898,0.41765,1.32294,0.004753,0.004753,0.004753
108,2861.05,0.64109,0.41653,1.12066,0.95373,0.93643,0.98143,0.79092,0.7929,0.44667,1.32271,0.0047035,0.0047035,0.0047035
109,2887.22,0.63949,0.40267,1.11451,0.93966,0.95844,0.98251,0.80879,0.78778,0.42203,1.33374,0.004654,0.004654,0.004654
110,2913.81,0.62926,0.4053,1.10734,0.91545,0.97953,0.97994,0.78889,0.79852,0.42044,1.34005,0.0046045,0.0046045,0.0046045
111,2939.86,0.63826,0.40845,1.11794,0.95255,0.93261,0.97931,0.80224,0.77924,0.42857,1.30286,0.004555,0.004555,0.004555
112,2965.94,0.63143,0.40172,1.10811,0.92573,0.96088,0.97806,0.79595,0.78745,0.4241,1.32119,0.0045055,0.0045055,0.0045055
