epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,5157.76,0.64093,0.4119,1.11349,0.94206,0.95405,0.98198,0.79521,0.78603,0.42654,1.30262,0.005347,0.005347,0.005347
96,5211.4,0.64215,0.41345,1.11927,0.93516,0.95355,0.97717,0.80259,0.79218,0.42784,1.3186,0.0052975,0.0052975,0.0052975
97,5265.03,0.63644,0.40747,1.11093,0.94009,0.95922,0.98316,0.80039,0.79077,0.40958,1.3376,0.005248,0.005248,0.005248
98,5318.59,0.63586,0.40945,1.1036,0.92596,0.96333,0.98082,0.79492,0.77736,0.41267,1.31525,0.0051985,0.0051985,0.0051985
99,5372.13,0.63416,0.40587,1.11762,0.93801,0.96192,0.98113,0.796,0.79167,0.41783,1.3432,0.005149,0.005149,0.005149
100,5425.96,0.62577,0.39645,1.10577,0.93535,0.95503,0.98444,0.79732,0.7739,0.40883,1.30866,0.0050995,0.0050995,0.0050995
101,5479.64,0.63363,0.40444,1.11431,0.92611,0.96088,0.9827,0.80517,0.77987,0.42738,1.30393,0.00505,0.00505,0.00505
102,5533.24,0.61772,0.4004,1.0979,0.93172,0.96759,0.98057,0.80592,0.77205,0.40453,1.3196,0.0050005,0.0050005,0.0050005
103,5586.91,0.61859,0.39701,1.1061,0.9357,0.96063,0.98224,0.79831,0.7783,0.41003,1.33327,0.004951,0.004951,0.004951
104,5640.56,0.6146,0.38204,1.09749,0.92561,0.97345,0.98062,0.80728,0.77938,0.41101,1.32381,0.0049015,0.0049015,0.0049015
105,5694.16,0.61492,0.39153,1.09967,0.92526,0.97311,0.98145,0.80481,0.77994,0.42483,1.3163,0.004852,0.004852,0.004852
106,5747.91,0.61262,0.38886,1.09633,0.92675,0.9589,0.98238,0.80026,0.76505,0.43699,1.31463,0.0048025,0.0048025,0.0048025
107,5801.58,0.60844,0.39376,1.09318,0.93523,0.95318,0.98271,0.81122,0.76455,0.40267,1.31686,0.004753,0.004753,0.004753
108,5857.11,0.60447,0.39431,1.09387,0.94618,0.94572,0.98333,0.80736,0.76084,0.41662,1.30971,0.0047035,0.0047035,0.0047035
109,5910.73,0.60413,0.38456,1.09012,0.92403,0.978,0.97685,0.79546,0.78725,0.40293,1.35343,0.004654,0.004654,0.004654
110,5964.54,0.58781,0.37818,1.07639,0.94946,0.96577,0.98341,0.81104,0.78012,0.39793,1.32629,0.0046045,0.0046045,0.0046045
111,6018.19,0.59428,0.37873,1.08724,0.95274,0.95599,0.97658,0.80802,0.75825,0.41056,1.32727,0.004555,0.004555,0.004555
112,6071.95,0.59493,0.37598,1.08365,0.91997,0.96088,0.97643,0.79783,0.7641,0.41602,1.30922,0.0045055,0.0045055,0.0045055
113,6125.83,0.58691,0.37371,1.07477,0.92243,0.97311,0.97923,0.81372,0.7428,0.41049,1.28032,0.004456,0.004456,0.004456
114,6181.28,0.59363,0.37628,1.08184,0.92952,0.96744,0.98454,0.80374,0.77165,0.42691,1.30906,0.0044065,0.0044065,0.0044065
115,6235.02,0.58077,0.36957,1.06883,0.91671,0.96871,0.97772,0.80878,0.76289,0.41752,1.28538,0.004357,0.004357,0.004357
116,6288.69,0.57525,0.35962,1.06425,0.93968,0.95214,0.9824,0.81391,0.74815,0.41032,1.292,0.0043075,0.0043075,0.0043075
117,6344.11,0.57185,0.36748,1.06716,0.9386,0.95844,0.97937,0.80536,0.76952,0.42545,1.31993,0.004258,0.004258,0.004258
118,6397.81,0.57835,0.36402,1.06722,0.93157,0.96822,0.97989,0.80836,0.7681,0.41222,1.32743,0.0042085,0.0042085,0.0042085
119,6451.77,0.57041,0.36029,1.05857,0.93659,0.975,0.98103,0.81134,0.77169,0.41281,1.31314,0.004159,0.004159,0.004159
120,6505.61,0.5709,0.36175,1.06636,0.92358,0.97513,0.98278,0.80983,0.78019,0.40218,1.32741,0.0041095,0.0041095,0.0041095
