epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,810.018,0.86305,0.59197,1.27536,0.92049,0.96242,0.97916,0.77169,0.83586,0.49249,1.29465,0.007228,0.007228,0.007228
58,823.938,0.84185,0.57962,1.24929,0.9118,0.9605,0.97554,0.77485,0.85028,0.48384,1.31868,0.0071785,0.0071785,0.0071785
59,838.069,0.85641,0.58696,1.26705,0.92721,0.94866,0.97819,0.77176,0.86104,0.48737,1.33077,0.007129,0.007129,0.007129
60,851.733,0.84036,0.57901,1.26061,0.9511,0.93399,0.98121,0.77904,0.84728,0.46594,1.32069,0.0070795,0.0070795,0.0070795
61,865.858,0.84075,0.57401,1.25292,0.93286,0.95125,0.98116,0.77162,0.84851,0.49021,1.31492,0.00703,0.00703,0.00703
62,879.665,0.84431,0.57656,1.26221,0.92441,0.95676,0.98268,0.79017,0.83944,0.46178,1.31805,0.0069805,0.0069805,0.0069805
63,893.702,0.8386,0.57791,1.2539,0.92493,0.96397,0.98049,0.77968,0.84419,0.47433,1.30898,0.006931,0.006931,0.006931
64,907.443,0.8432,0.57734,1.25232,0.91856,0.96517,0.9794,0.75466,0.87785,0.51436,1.34102,0.0068815,0.0068815,0.0068815
65,921.285,0.84391,0.57927,1.26419,0.92816,0.94621,0.97777,0.78251,0.83603,0.485,1.31825,0.006832,0.006832,0.006832
66,935.189,0.83052,0.56038,1.24525,0.90897,0.97654,0.97793,0.78269,0.82282,0.46654,1.2927,0.0067825,0.0067825,0.0067825
67,949.082,0.81308,0.55493,1.23686,0.9216,0.96333,0.97895,0.77619,0.85048,0.47107,1.31014,0.006733,0.006733,0.006733
68,962.876,0.82831,0.56327,1.24922,0.9222,0.97066,0.98202,0.77996,0.8456,0.47763,1.30341,0.0066835,0.0066835,0.0066835
69,976.413,0.82929,0.56367,1.25358,0.91858,0.96543,0.9767,0.78308,0.837,0.48119,1.30977,0.006634,0.006634,0.006634
70,990.279,0.82101,0.56026,1.24245,0.92349,0.93888,0.97622,0.77445,0.83733,0.4744,1.30768,0.0065845,0.0065845,0.0065845
71,1004.16,0.81697,0.54715,1.231,0.92618,0.94132,0.97836,0.78114,0.84347,0.48482,1.29588,0.006535,0.006535,0.006535
72,1017.99,0.80806,0.54135,1.2267,0.9152,0.97631,0.9809,0.77715,0.8613,0.44859,1.34107,0.0064855,0.0064855,0.0064855
73,1031.73,0.79058,0.53387,1.20989,0.92795,0.97066,0.97795,0.77694,0.83317,0.46715,1.30894,0.006436,0.006436,0.006436
74,1045.51,0.79743,0.53918,1.22118,0.91736,0.95599,0.97586,0.77719,0.84314,0.4713,1.29471,0.0063865,0.0063865,0.0063865
75,1059.36,0.80564,0.53402,1.21986,0.92031,0.96002,0.9797,0.78278,0.82771,0.46522,1.29198,0.006337,0.006337,0.006337
76,1073.19,0.79747,0.5327,1.22216,0.92856,0.95345,0.97747,0.7829,0.83091,0.46876,1.30106,0.0062875,0.0062875,0.0062875
77,1087.05,0.78686,0.53056,1.20555,0.93364,0.9631,0.97678,0.78509,0.82068,0.46597,1.28531,0.006238,0.006238,0.006238
78,1100.84,0.7821,0.5272,1.20255,0.9167,0.98044,0.97924,0.79597,0.79967,0.44423,1.26943,0.0061885,0.0061885,0.0061885
79,1115.05,0.78922,0.51961,1.21222,0.9377,0.95676,0.97915,0.78433,0.82631,0.45547,1.2943,0.006139,0.006139,0.006139
80,1129.06,0.79575,0.53199,1.21629,0.92821,0.96333,0.97901,0.78386,0.81169,0.44982,1.26308,0.0060895,0.0060895,0.0060895
81,1143.06,0.78072,0.51675,1.20444,0.91385,0.97555,0.98226,0.79237,0.81926,0.45461,1.28268,0.00604,0.00604,0.00604
82,1157.01,0.77723,0.51161,1.19373,0.92916,0.96333,0.98252,0.78525,0.83425,0.44678,1.28864,0.0059905,0.0059905,0.0059905
83,1171,0.76105,0.51618,1.19095,0.92179,0.95098,0.97975,0.79167,0.82208,0.45579,1.28407,0.005941,0.005941,0.005941
84,1184.71,0.76611,0.51118,1.18233,0.92783,0.95844,0.97937,0.78832,0.82021,0.45712,1.27262,0.0058915,0.0058915,0.0058915
85,1198.51,0.76114,0.50378,1.18432,0.92095,0.96852,0.9797,0.79368,0.81897,0.44802,1.28163,0.005842,0.005842,0.005842
86,1212.36,0.76679,0.50647,1.19149,0.92704,0.963,0.98188,0.78499,0.81819,0.43946,1.2894,0.0057925,0.0057925,0.0057925
87,1226.25,0.7521,0.4983,1.17452,0.9357,0.96088,0.97917,0.78701,0.80978,0.43983,1.27357,0.005743,0.005743,0.005743
88,1240.15,0.76226,0.49554,1.18416,0.92951,0.96723,0.98047,0.79114,0.8184,0.44183,1.30449,0.0056935,0.0056935,0.0056935
89,1253.98,0.75486,0.49799,1.17456,0.92283,0.96088,0.97979,0.79192,0.82253,0.43737,1.28963,0.005644,0.005644,0.005644
90,1268,0.75827,0.49826,1.18841,0.94051,0.978,0.98255,0.7994,0.79881,0.42301,1.27399,0.0055945,0.0055945,0.0055945
91,1282.1,0.75657,0.4968,1.18825,0.94683,0.95788,0.98099,0.7929,0.81516,0.43337,1.29138,0.005545,0.005545,0.005545
92,1295.83,0.75475,0.49838,1.18137,0.93519,0.95262,0.9799,0.79436,0.80972,0.42747,1.26679,0.0054955,0.0054955,0.0054955
93,1309.64,0.75621,0.49513,1.19107,0.93159,0.96556,0.9834,0.7939,0.8227,0.44057,1.30794,0.005446,0.005446,0.005446
94,1323.56,0.74105,0.48417,1.17267,0.93536,0.95529,0.98003,0.79642,0.81764,0.42767,1.28084,0.0053965,0.0053965,0.0053965
95,1337.37,0.73818,0.48039,1.16847,0.94291,0.95599,0.98423,0.80053,0.80183,0.43162,1.25866,0.005347,0.005347,0.005347
96,1351.53,0.73418,0.48689,1.17399,0.94776,0.93158,0.9817,0.79297,0.81109,0.43383,1.28079,0.0052975,0.0052975,0.0052975
97,1365.34,0.74303,0.48195,1.1729,0.90415,0.97555,0.9772,0.78954,0.80805,0.45227,1.29108,0.005248,0.005248,0.005248
98,1379.36,0.73235,0.48176,1.15862,0.92425,0.96088,0.98041,0.79597,0.80652,0.43274,1.27907,0.0051985,0.0051985,0.0051985
99,1393.32,0.73272,0.48455,1.17233,0.93115,0.94621,0.97831,0.80361,0.77924,0.45447,1.2479,0.005149,0.005149,0.005149
100,1407.69,0.7211,0.46308,1.15291,0.93467,0.94621,0.97551,0.79156,0.80245,0.4519,1.26835,0.0050995,0.0050995,0.0050995
101,1421.57,0.73196,0.48094,1.1743,0.91737,0.96822,0.97722,0.78199,0.82009,0.44434,1.29872,0.00505,0.00505,0.00505
102,1435.44,0.72102,0.47574,1.16078,0.91852,0.96577,0.97838,0.80098,0.7941,0.41875,1.27143,0.0050005,0.0050005,0.0050005
103,1449.27,0.73447,0.47264,1.16897,0.92201,0.96577,0.97651,0.79162,0.80573,0.42385,1.2689,0.004951,0.004951,0.004951
104,1463.08,0.72241,0.45814,1.15412,0.93625,0.96956,0.97993,0.79848,0.80561,0.43548,1.26865,0.0049015,0.0049015,0.0049015
105,1476.78,0.72065,0.46442,1.15484,0.92088,0.95844,0.98035,0.8022,0.80941,0.43454,1.27134,0.004852,0.004852,0.004852
106,1490.52,0.71961,0.46291,1.16097,0.93993,0.95599,0.97822,0.79125,0.80067,0.42308,1.27547,0.0048025,0.0048025,0.0048025
107,1504.37,0.71659,0.46124,1.15315,0.92573,0.97311,0.98404,0.80626,0.80129,0.42034,1.25646,0.004753,0.004753,0.004753
108,1518.56,0.708,0.46536,1.14836,0.93554,0.96822,0.98381,0.79968,0.79775,0.42776,1.25536,0.0047035,0.0047035,0.0047035
109,1532.38,0.70861,0.45349,1.14274,0.9422,0.96333,0.9818,0.79809,0.7921,0.41134,1.27164,0.004654,0.004654,0.004654
110,1546.2,0.69893,0.45484,1.13527,0.94159,0.95599,0.98174,0.80847,0.79837,0.41132,1.26638,0.0046045,0.0046045,0.0046045
111,1560.35,0.70442,0.45233,1.14653,0.95359,0.94866,0.98112,0.80915,0.79637,0.41522,1.26891,0.004555,0.004555,0.004555
112,1574.86,0.69838,0.4524,1.13775,0.9278,0.96333,0.98267,0.8089,0.78387,0.42619,1.25538,0.0045055,0.0045055,0.0045055
113,1588.66,0.69969,0.45073,1.14329,0.93567,0.96333,0.98054,0.80121,0.80345,0.41811,1.28122,0.004456,0.004456,0.004456
114,1602.53,0.69975,0.45575,1.14829,0.94887,0.95277,0.98238,0.80236,0.79799,0.42335,1.25603,0.0044065,0.0044065,0.0044065
115,1616.43,0.69586,0.45073,1.13242,0.93982,0.95458,0.98105,0.80087,0.79438,0.43138,1.25977,0.004357,0.004357,0.004357
116,1630.26,0.67829,0.43368,1.12315,0.94233,0.95881,0.98133,0.80126,0.79699,0.41742,1.26996,0.0043075,0.0043075,0.0043075
117,1644.03,0.68951,0.44192,1.13075,0.9415,0.96333,0.97784,0.79284,0.80144,0.43514,1.2687,0.004258,0.004258,0.004258
118,1657.92,0.68399,0.43978,1.12647,0.93037,0.97311,0.9816,0.8037,0.80023,0.41527,1.27372,0.0042085,0.0042085,0.0042085
119,1671.82,0.68196,0.43088,1.12169,0.93601,0.96566,0.98206,0.80256,0.7943,0.41447,1.2766,0.004159,0.004159,0.004159
120,1685.7,0.67866,0.43489,1.1279,0.92867,0.97066,0.98295,0.80557,0.7882,0.41895,1.25747,0.0041095,0.0041095,0.0041095
121,1699.57,0.68892,0.43307,1.13053,0.94891,0.96088,0.98428,0.81152,0.78408,0.4089,1.25628,0.00406,0.00406,0.00406
122,1713.68,0.67808,0.43081,1.11785,0.94081,0.97153,0.9845,0.81067,0.78671,0.40899,1.24843,0.0040105,0.0040105,0.0040105
123,1727.54,0.68543,0.4324,1.12998,0.93779,0.95599,0.97997,0.80523,0.77852,0.41294,1.24606,0.003961,0.003961,0.003961
124,1741.51,0.67932,0.43294,1.12468,0.92584,0.96088,0.98518,0.80197,0.80105,0.40993,1.25422,0.0039115,0.0039115,0.0039115
125,1755.49,0.67048,0.43451,1.1233,0.9361,0.96712,0.98221,0.80046,0.79441,0.41578,1.27078,0.003862,0.003862,0.003862
126,1769.39,0.66957,0.41999,1.1153,0.93626,0.96333,0.98254,0.8098,0.78196,0.40979,1.25333,0.0038125,0.0038125,0.0038125
127,1783.54,0.6621,0.42528,1.11009,0.93739,0.96088,0.98124,0.80955,0.78202,0.41616,1.25071,0.003763,0.003763,0.003763
128,1797.5,0.66103,0.41923,1.11166,0.94871,0.93888,0.97933,0.80846,0.78188,0.40208,1.25627,0.0037135,0.0037135,0.0037135
129,1811.54,0.6542,0.41345,1.1037,0.92857,0.98044,0.97914,0.80095,0.78513,0.40739,1.25509,0.003664,0.003664,0.003664
130,1825.41,0.65311,0.41043,1.10374,0.9323,0.97066,0.97676,0.80572,0.77943,0.40964,1.24588,0.0036145,0.0036145,0.0036145
131,1839.1,0.65671,0.40966,1.10572,0.93844,0.96904,0.97933,0.80683,0.77568,0.4055,1.24888,0.003565,0.003565,0.003565
132,1853,0.65796,0.40892,1.10265,0.95524,0.93917,0.97254,0.79477,0.78726,0.41002,1.26154,0.0035155,0.0035155,0.0035155
133,1866.95,0.65365,0.41572,1.10689,0.93595,0.96577,0.97197,0.80103,0.79236,0.40646,1.28209,0.003466,0.003466,0.003466
134,1881,0.64315,0.4082,1.09502,0.92023,0.97555,0.98064,0.81121,0.78262,0.40345,1.26415,0.0034165,0.0034165,0.0034165
135,1894.91,0.65719,0.40761,1.10784,0.92979,0.97135,0.98002,0.81108,0.78078,0.41648,1.25307,0.003367,0.003367,0.003367
136,1908.73,0.64716,0.41166,1.10012,0.93938,0.94621,0.97962,0.8059,0.78901,0.41822,1.26875,0.0033175,0.0033175,0.0033175
137,1922.6,0.65199,0.40733,1.10657,0.93222,0.97311,0.97728,0.80423,0.78658,0.40107,1.27399,0.003268,0.003268,0.003268
138,1936.47,0.64999,0.41261,1.1041,0.94211,0.95488,0.9782,0.7998,0.79763,0.40859,1.29262,0.0032185,0.0032185,0.0032185
139,1950.22,0.64163,0.40025,1.0923,0.94615,0.94517,0.97539,0.80763,0.78081,0.40768,1.2642,0.003169,0.003169,0.003169
140,1964.03,0.6293,0.39847,1.08902,0.93159,0.96552,0.98008,0.8085,0.77517,0.39912,1.24644,0.0031195,0.0031195,0.0031195
141,1977.98,0.62583,0.38535,1.0829,0.92821,0.97066,0.97882,0.80658,0.77803,0.41752,1.26591,0.00307,0.00307,0.00307
142,1991.91,0.62847,0.39548,1.08703,0.92969,0.97066,0.97899,0.80353,0.79814,0.43569,1.28117,0.0030205,0.0030205,0.0030205
143,2005.9,0.63263,0.39696,1.08998,0.93343,0.95993,0.97744,0.80638,0.78369,0.41512,1.25912,0.002971,0.002971,0.002971
144,2019.82,0.62674,0.39612,1.0794,0.93278,0.96577,0.97842,0.80947,0.76956,0.40929,1.25683,0.0029215,0.0029215,0.0029215
145,2033.7,0.63064,0.39679,1.08852,0.93228,0.96333,0.97995,0.80914,0.77043,0.41504,1.25777,0.002872,0.002872,0.002872
146,2047.55,0.62381,0.38982,1.0826,0.94052,0.96649,0.98061,0.80889,0.78826,0.4138,1.28331,0.0028225,0.0028225,0.0028225
147,2061.46,0.6251,0.39007,1.08372,0.94044,0.96521,0.9803,0.80803,0.78981,0.41377,1.2742,0.002773,0.002773,0.002773
148,2080.99,0.62406,0.39744,1.08675,0.95743,0.9348,0.98195,0.80554,0.78736,0.41064,1.27292,0.0027235,0.0027235,0.0027235
149,2094.85,0.6176,0.39095,1.07746,0.94818,0.95355,0.98029,0.80184,0.7779,0.41183,1.27712,0.002674,0.002674,0.002674
150,2108.8,0.6137,0.38261,1.07647,0.94596,0.95844,0.97999,0.80773,0.78161,0.4191,1.27021,0.0026245,0.0026245,0.0026245
151,2122.64,0.6104,0.38376,1.07559,0.93977,0.95844,0.97823,0.80546,0.7824,0.40793,1.27688,0.002575,0.002575,0.002575
152,2136.45,0.61632,0.37951,1.07801,0.95988,0.93594,0.97535,0.80176,0.77603,0.40901,1.27518,0.0025255,0.0025255,0.0025255
