epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2077.28,0.78465,0.53965,1.21481,0.92012,0.95761,0.98073,0.77789,0.83706,0.45434,1.30427,0.0070795,0.0070795,0.0070795
61,2111.45,0.7851,0.52892,1.20629,0.93335,0.96088,0.98233,0.79476,0.80179,0.44795,1.2978,0.00703,0.00703,0.00703
62,2145.61,0.78983,0.53343,1.22091,0.91349,0.95844,0.97605,0.78024,0.82487,0.47319,1.32983,0.0069805,0.0069805,0.0069805
63,2179.62,0.78078,0.53746,1.21774,0.92847,0.96577,0.98103,0.78281,0.84006,0.4673,1.33169,0.006931,0.006931,0.006931
64,2213.71,0.77919,0.52617,1.21077,0.91921,0.97363,0.97868,0.77969,0.82063,0.45764,1.31626,0.0068815,0.0068815,0.0068815
65,2247.8,0.77972,0.52822,1.21234,0.94502,0.94621,0.97925,0.78121,0.82217,0.4691,1.31169,0.006832,0.006832,0.006832
66,2281.94,0.77131,0.51944,1.19598,0.94193,0.92665,0.97707,0.78168,0.81376,0.46252,1.28208,0.0067825,0.0067825,0.0067825
67,2316.11,0.76138,0.5072,1.20188,0.93021,0.94505,0.97813,0.77004,0.82978,0.46815,1.32787,0.006733,0.006733,0.006733
68,2350.37,0.76567,0.5192,1.20121,0.92962,0.96886,0.98004,0.78617,0.82402,0.45022,1.29691,0.0066835,0.0066835,0.0066835
69,2384.5,0.7581,0.518,1.20004,0.93931,0.96088,0.97814,0.78688,0.81192,0.43609,1.309,0.006634,0.006634,0.006634
70,2418.83,0.76377,0.52087,1.20151,0.91528,0.96577,0.97798,0.77977,0.83486,0.46689,1.32647,0.0065845,0.0065845,0.0065845
71,2452.88,0.75672,0.50579,1.18855,0.91878,0.94377,0.97817,0.78231,0.81928,0.4782,1.3011,0.006535,0.006535,0.006535
72,2487.03,0.74404,0.49049,1.1819,0.90375,0.96425,0.9722,0.77408,0.81121,0.46384,1.30145,0.0064855,0.0064855,0.0064855
73,2521.19,0.72918,0.49368,1.16932,0.93437,0.95599,0.981,0.78744,0.79544,0.45699,1.29852,0.006436,0.006436,0.006436
74,2555.38,0.73795,0.49742,1.18057,0.93023,0.94529,0.97428,0.77823,0.81784,0.45685,1.29546,0.0063865,0.0063865,0.0063865
75,2589.53,0.73855,0.48854,1.17324,0.94032,0.92452,0.98054,0.79096,0.79358,0.44326,1.28142,0.006337,0.006337,0.006337
76,2623.69,0.73144,0.48582,1.17124,0.91535,0.95175,0.97679,0.78999,0.80869,0.45627,1.27962,0.0062875,0.0062875,0.0062875
77,2657.76,0.73392,0.47642,1.1666,0.95237,0.94621,0.98106,0.79058,0.79866,0.44099,1.28256,0.006238,0.006238,0.006238
78,2691.91,0.72723,0.48264,1.16342,0.9287,0.95844,0.98179,0.80445,0.79225,0.44084,1.26117,0.0061885,0.0061885,0.0061885
79,2728.27,0.73326,0.48433,1.17196,0.92088,0.98044,0.98388,0.79273,0.8165,0.42532,1.29423,0.006139,0.006139,0.006139
80,2762.33,0.72982,0.48962,1.17005,0.9498,0.93399,0.97171,0.7761,0.81103,0.46076,1.32158,0.0060895,0.0060895,0.0060895
81,2796.43,0.72112,0.4725,1.17239,0.93742,0.95229,0.97992,0.78581,0.82771,0.44116,1.33479,0.00604,0.00604,0.00604
82,2830.6,0.71221,0.46429,1.15806,0.93393,0.95599,0.97616,0.79358,0.80324,0.42039,1.30247,0.0059905,0.0059905,0.0059905
83,2864.55,0.69987,0.4654,1.15228,0.91543,0.98044,0.98142,0.7968,0.78501,0.42735,1.27992,0.005941,0.005941,0.005941
84,2898.72,0.69541,0.46345,1.1367,0.92305,0.96784,0.97824,0.79004,0.7857,0.42781,1.27999,0.0058915,0.0058915,0.0058915
85,2932.73,0.70623,0.46236,1.15267,0.93302,0.95365,0.98259,0.80109,0.78451,0.42962,1.28091,0.005842,0.005842,0.005842
86,2966.78,0.70335,0.45634,1.15385,0.9343,0.95355,0.98228,0.79712,0.78608,0.42865,1.28448,0.0057925,0.0057925,0.0057925
87,3000.94,0.6926,0.4543,1.13899,0.92519,0.97555,0.98693,0.80022,0.79555,0.41748,1.29216,0.005743,0.005743,0.005743
88,3035.14,0.68881,0.44654,1.13625,0.93275,0.94945,0.97654,0.79018,0.78926,0.43828,1.28024,0.0056935,0.0056935,0.0056935
89,3069.17,0.68751,0.45253,1.13457,0.93991,0.9561,0.98002,0.79513,0.7985,0.43409,1.29633,0.005644,0.005644,0.005644
90,3103.33,0.68627,0.44765,1.13818,0.9339,0.96727,0.97971,0.79052,0.78615,0.43521,1.27474,0.0055945,0.0055945,0.0055945
91,3137.49,0.68651,0.4482,1.13879,0.92863,0.9511,0.98211,0.79728,0.79479,0.42149,1.31199,0.005545,0.005545,0.005545
92,3171.62,0.68569,0.45279,1.13303,0.94765,0.94377,0.98186,0.79437,0.79486,0.41633,1.28607,0.0054955,0.0054955,0.0054955
93,3205.69,0.69134,0.44667,1.14249,0.92404,0.98149,0.98489,0.79882,0.79423,0.41712,1.29465,0.005446,0.005446,0.005446
94,3239.84,0.67702,0.4413,1.12817,0.93105,0.96333,0.98186,0.78964,0.80106,0.43954,1.27881,0.0053965,0.0053965,0.0053965
95,3274.03,0.67221,0.43238,1.12074,0.91705,0.97315,0.97937,0.78526,0.81904,0.43711,1.29657,0.005347,0.005347,0.005347
96,3308.28,0.67686,0.43761,1.13372,0.94371,0.94278,0.98001,0.7938,0.79835,0.42,1.30134,0.0052975,0.0052975,0.0052975
97,3342.35,0.66666,0.43056,1.12088,0.9381,0.96577,0.9845,0.79271,0.81899,0.42463,1.31977,0.005248,0.005248,0.005248
98,3376.55,0.65623,0.43306,1.1056,0.92007,0.97311,0.97742,0.78979,0.79799,0.44482,1.29935,0.0051985,0.0051985,0.0051985
99,3410.75,0.66251,0.43264,1.11943,0.94834,0.94866,0.98405,0.79615,0.80137,0.42117,1.29192,0.005149,0.005149,0.005149
100,3444.81,0.65548,0.41891,1.11352,0.92512,0.96822,0.98148,0.79968,0.79191,0.41368,1.28115,0.0050995,0.0050995,0.0050995
101,3478.87,0.66341,0.42752,1.12187,0.92089,0.96768,0.97726,0.79153,0.78927,0.43014,1.27002,0.00505,0.00505,0.00505
102,3513.01,0.6521,0.42151,1.10769,0.92709,0.96382,0.98044,0.8036,0.78067,0.42538,1.28479,0.0050005,0.0050005,0.0050005
103,3547.15,0.65576,0.41949,1.11304,0.93191,0.94866,0.97497,0.77843,0.79783,0.43733,1.29208,0.004951,0.004951,0.004951
104,3581.29,0.64964,0.41357,1.10234,0.90073,0.978,0.97456,0.78719,0.81739,0.4261,1.29131,0.0049015,0.0049015,0.0049015
105,3615.34,0.64824,0.41679,1.10483,0.93762,0.94377,0.97979,0.79666,0.7863,0.42824,1.27542,0.004852,0.004852,0.004852
106,3649.51,0.64449,0.41077,1.10775,0.93648,0.94866,0.97689,0.7932,0.78705,0.44064,1.27903,0.0048025,0.0048025,0.0048025
107,3683.72,0.6416,0.41487,1.0993,0.92479,0.95844,0.9802,0.79639,0.789,0.4386,1.30388,0.004753,0.004753,0.004753
108,3717.83,0.63661,0.4167,1.1029,0.9433,0.95355,0.98182,0.80388,0.7857,0.40504,1.28574,0.0047035,0.0047035,0.0047035
109,3752.06,0.63354,0.39841,1.09593,0.91497,0.97342,0.98088,0.79897,0.79815,0.43326,1.29687,0.004654,0.004654,0.004654
110,3786.5,0.62395,0.40094,1.0821,0.92863,0.94621,0.98052,0.79991,0.77845,0.41867,1.27506,0.0046045,0.0046045,0.0046045
111,3821.09,0.63266,0.4037,1.09799,0.93978,0.95396,0.98202,0.80801,0.76608,0.42201,1.27714,0.004555,0.004555,0.004555
112,3856.39,0.62847,0.39959,1.09308,0.94301,0.95355,0.98008,0.80409,0.78382,0.41034,1.28586,0.0045055,0.0045055,0.0045055
113,3890.87,0.62394,0.3962,1.08927,0.93539,0.95578,0.97769,0.79975,0.77827,0.42557,1.28563,0.004456,0.004456,0.004456
114,3925.22,0.62617,0.39878,1.09273,0.93147,0.96375,0.97999,0.80165,0.77437,0.42004,1.28613,0.0044065,0.0044065,0.0044065
115,3959.52,0.61696,0.39659,1.08163,0.94362,0.93888,0.97838,0.80997,0.78051,0.41809,1.26566,0.004357,0.004357,0.004357
116,3994.69,0.61173,0.38357,1.07664,0.93078,0.9535,0.97622,0.8018,0.78097,0.42891,1.28299,0.0043075,0.0043075,0.0043075
117,4029.02,0.60535,0.38925,1.07544,0.9309,0.95526,0.97806,0.80253,0.78193,0.42798,1.29536,0.004258,0.004258,0.004258
118,4063.4,0.60839,0.39047,1.07778,0.92209,0.96577,0.98343,0.79959,0.78852,0.41288,1.29395,0.0042085,0.0042085,0.0042085
119,4097.76,0.60826,0.38624,1.07536,0.95316,0.94539,0.97657,0.80132,0.77509,0.40561,1.27446,0.004159,0.004159,0.004159
120,4131.99,0.59879,0.38323,1.07486,0.92772,0.96333,0.98044,0.80805,0.77461,0.40891,1.28749,0.0041095,0.0041095,0.0041095
