                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,      train/loss_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,      train/loss_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
44,0.90683,0.65307,1.3857,9.20631,0.98634,0.6762,1.4404,9.89625,0.88966,0.88708,0.95553,0.72978,0.89542,0.53316,1.475,0.93279,0.46176,1.5061,0.007921,0.007921,0.007921
45,0.90737,0.6552,1.3789,9.201225,0.97362,0.67528,1.4278,9.78149,0.88033,0.91687,0.95919,0.72845,0.88451,0.55235,1.4508,0.90894,0.50649,1.4761,0.0078715,0.0078715,0.0078715
46,0.90806,0.64814,1.3803,9.20497,0.97927,0.66669,1.4283,9.82032,0.89556,0.85819,0.94957,0.73135,0.881,0.55463,1.4163,0.91821,0.5295,1.4626,0.007822,0.007822,0.007822
47,0.90374,0.6474,1.3831,9.1764,0.97293,0.68621,1.4397,9.79963,0.88065,0.89487,0.94013,0.72596,0.87993,0.53236,1.4196,0.91515,0.5023,1.4593,0.0077725,0.0077725,0.0077725
48,0.87893,0.62419,1.3495,8.92832,0.95242,0.64786,1.41,9.58208,0.87416,0.91715,0.959,0.7347,0.86657,0.50305,1.4123,0.88365,0.45754,1.4472,0.007723,0.007723,0.007723
49,0.89111,0.62146,1.3564,9.028655,0.96671,0.64575,1.4167,9.69825,0.88023,0.91198,0.95696,0.72941,0.86576,0.50605,1.4305,0.90801,0.47065,1.4711,0.0076735,0.0076735,0.0076735
50,0.89273,0.63093,1.3662,9.06024,0.97131,0.64341,1.4267,9.74658,0.89678,0.89214,0.96367,0.73525,0.87238,0.51647,1.4293,0.89881,0.45936,1.4758,0.007624,0.007624,0.007624
51,0.88573,0.62681,1.3675,9.00763,0.96367,0.63667,1.4329,9.69521,0.86557,0.94621,0.96203,0.73128,0.87421,0.49697,1.4291,0.92314,0.43228,1.4827,0.0075745,0.0075745,0.0075745
52,0.8889,0.61996,1.3617,9.01928,0.95494,0.65987,1.42,9.621985,0.91059,0.88509,0.95334,0.73538,0.87043,0.52522,1.4288,0.89086,0.46772,1.4604,0.007525,0.007525,0.007525
53,0.87151,0.6268,1.3424,8.863325,0.94231,0.65409,1.3993,9.49332,0.90064,0.88998,0.9573,0.73318,0.86591,0.51687,1.4108,0.89339,0.46255,1.4425,0.0074755,0.0074755,0.0074755
54,0.86811,0.60609,1.3465,8.83362,0.94164,0.61128,1.4068,9.47814,0.88561,0.92749,0.96622,0.74085,0.87084,0.4878,1.408,0.89697,0.4311,1.4558,0.007426,0.007426,0.007426
55,0.85947,0.60824,1.3391,8.758795,0.93601,0.62457,1.4073,9.44331,0.90616,0.89713,0.95821,0.75265,0.85161,0.50243,1.3794,0.86531,0.43822,1.4138,0.0073765,0.0073765,0.0073765
56,0.84743,0.611,1.3245,8.647975,0.91576,0.62619,1.3806,9.252195,0.92113,0.88998,0.96534,0.74065,0.86723,0.50973,1.4117,0.88639,0.4753,1.4433,0.007327,0.007327,0.007327
57,0.83523,0.57768,1.314,8.524065,0.90494,0.59425,1.3689,9.137525,0.92704,0.86984,0.96634,0.7386,0.84833,0.49645,1.3917,0.88285,0.46049,1.4404,0.0072775,0.0072775,0.0072775
58,0.83752,0.57983,1.3129,8.540665,0.90332,0.57992,1.369,9.11836,0.87976,0.93643,0.96741,0.73757,0.88701,0.48634,1.4444,0.91922,0.42233,1.4967,0.007228,0.007228,0.007228
59,0.84389,0.59398,1.3237,8.611715,0.90881,0.60584,1.3844,9.195595,0.921,0.91212,0.97138,0.75034,0.83038,0.47945,1.3841,0.87514,0.40741,1.4449,0.0071785,0.0071785,0.0071785
60,0.83846,0.5794,1.3199,8.558,0.90551,0.58828,1.3802,9.155765,0.88321,0.96146,0.97033,0.75312,0.83359,0.47187,1.3834,0.85154,0.40928,1.4168,0.007129,0.007129,0.007129
