                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,         train/loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
55,0.89816,0.6482,1.3205,9.04105,0.93514,0.89487,0.96853,0.73919,0.87783,0.55567,1.354,0.007327,0.007327,0.007327
56,0.9081,0.65392,1.3361,9.14186,0.91826,0.95355,0.97118,0.74516,0.86419,0.5597,1.3615,0.0072775,0.0072775,0.0072775
57,0.8992,0.63486,1.3238,9.04713,0.90562,0.94377,0.97054,0.74691,0.8818,0.53415,1.3605,0.007228,0.007228,0.007228
58,0.88016,0.6188,1.3004,8.8612,0.92947,0.93154,0.97614,0.7318,0.9081,0.55177,1.3954,0.0071785,0.0071785,0.0071785
59,0.88493,0.6333,1.311,8.920125,0.91405,0.94866,0.97105,0.74847,0.8533,0.54458,1.3492,0.007129,0.007129,0.007129
60,0.8795,0.62221,1.3053,8.865305,0.93175,0.94132,0.97706,0.7577,0.86647,0.50481,1.3384,0.0070795,0.0070795,0.0070795
61,0.87863,0.61351,1.2991,8.84513,0.92398,0.92127,0.97146,0.74265,0.87179,0.53175,1.3591,0.00703,0.00703,0.00703
62,0.88392,0.61598,1.3055,8.89564,0.93625,0.93362,0.97286,0.74646,0.88848,0.51726,1.3797,0.0069805,0.0069805,0.0069805
63,0.87698,0.62284,1.3066,8.84867,0.9278,0.9112,0.96399,0.74401,0.85269,0.54536,1.3526,0.006931,0.006931,0.006931
64,0.87793,0.61529,1.3033,8.84707,0.92979,0.91198,0.97619,0.74847,0.89301,0.51986,1.3712,0.0068815,0.0068815,0.0068815
65,0.88099,0.61048,1.305,8.870165,0.93292,0.91443,0.97201,0.74899,0.86893,0.54229,1.3571,0.006832,0.006832,0.006832
66,0.87314,0.60367,1.2973,8.796335,0.93908,0.93399,0.97679,0.76407,0.82789,0.51614,1.3067,0.0067825,0.0067825,0.0067825
67,0.86185,0.60313,1.2967,8.71049,0.91692,0.92665,0.97754,0.74517,0.87607,0.52471,1.3672,0.006733,0.006733,0.006733
68,0.86543,0.59993,1.3013,8.74264,0.92481,0.90224,0.9721,0.75119,0.86382,0.51825,1.3429,0.0066835,0.0066835,0.0066835
69,0.85584,0.60371,1.291,8.657155,0.91724,0.94841,0.97564,0.75601,0.85092,0.53546,1.3459,0.006634,0.006634,0.006634
70,0.85676,0.60978,1.2868,8.66079,0.92753,0.93399,0.97304,0.75699,0.85602,0.51716,1.3407,0.0065845,0.0065845,0.0065845
71,0.8553,0.58941,1.2786,8.627355,0.91136,0.93154,0.9742,0.75143,0.86284,0.5306,1.3407,0.006535,0.006535,0.006535
72,0.84416,0.58137,1.2746,8.533785,0.92683,0.92909,0.97371,0.75015,0.85851,0.54562,1.3414,0.0064855,0.0064855,0.0064855
73,0.82769,0.57789,1.2588,8.38482,0.92042,0.93888,0.97521,0.75682,0.84788,0.51645,1.348,0.006436,0.006436,0.006436
74,0.8326,0.57855,1.273,8.443275,0.92544,0.94082,0.97449,0.75674,0.84689,0.50465,1.3283,0.0063865,0.0063865,0.0063865
75,0.84145,0.56849,1.27,8.50012,0.92405,0.92221,0.97627,0.7562,0.85038,0.50849,1.34,0.006337,0.006337,0.006337
76,0.83057,0.56905,1.2704,8.4194,0.91921,0.91806,0.97083,0.7572,0.85098,0.50243,1.3346,0.0062875,0.0062875,0.0062875
77,0.82823,0.5674,1.258,8.382425,0.89694,0.95844,0.97571,0.76654,0.84592,0.51184,1.3278,0.006238,0.006238,0.006238
78,0.82722,0.56431,1.2582,8.373605,0.91219,0.9398,0.97387,0.75709,0.84492,0.50206,1.3166,0.0061885,0.0061885,0.0061885
79,0.83167,0.57169,1.2671,8.42402,0.91108,0.95197,0.97435,0.75532,0.851,0.49435,1.3336,0.006139,0.006139,0.006139
80,0.83532,0.57563,1.2725,8.461465,0.90748,0.9593,0.97125,0.75591,0.83102,0.50117,1.3232,0.0060895,0.0060895,0.0060895
81,0.82107,0.55304,1.2582,8.321845,0.90541,0.96333,0.97551,0.75445,0.84553,0.48711,1.3337,0.00604,0.00604,0.00604
82,0.82069,0.55379,1.2515,8.30932,0.91557,0.92794,0.97522,0.74788,0.85527,0.51254,1.3379,0.0059905,0.0059905,0.0059905
