               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
120,1.0972,0.74474,1.5749,10.96372,0.92253,0.96086,0.98135,0.80672,0.98529,0.54089,1.73,0.0041095,0.0041095,0.0041095
121,1.0916,0.73722,1.5703,10.91106,0.92013,0.96088,0.9836,0.79391,1.0055,0.54548,1.757,0.00406,0.00406,0.00406
122,1.0793,0.73747,1.5695,10.817735,0.92911,0.96088,0.98086,0.7982,0.9902,0.56111,1.7374,0.0040105,0.0040105,0.0040105
123,1.0938,0.73721,1.5788,10.940305,0.95577,0.93399,0.98326,0.80405,0.97784,0.53774,1.722,0.003961,0.003961,0.003961
124,1.0755,0.73026,1.5596,10.77078,0.94505,0.96333,0.98317,0.8008,0.98407,0.53143,1.7239,0.0039115,0.0039115,0.0039115
125,1.0788,0.72118,1.5699,10.80644,0.93091,0.95542,0.98239,0.79975,0.97191,0.53593,1.7162,0.003862,0.003862,0.003862
126,1.0703,0.7079,1.5456,10.6996,0.94684,0.93888,0.98174,0.79275,0.99585,0.54215,1.7545,0.0038125,0.0038125,0.0038125
127,1.0665,0.73967,1.5668,10.718785,0.92681,0.95974,0.98154,0.80389,0.98157,0.55124,1.7285,0.003763,0.003763,0.003763
128,1.0901,0.74371,1.5772,10.913405,0.92632,0.95599,0.9813,0.79977,0.97355,0.53763,1.7249,0.0037135,0.0037135,0.0037135
129,1.0797,0.71945,1.5506,10.783375,0.91694,0.97173,0.9845,0.79754,0.96933,0.51806,1.7223,0.003664,0.003664,0.003664
130,1.0676,0.72012,1.5481,10.68921,0.91051,0.978,0.98151,0.79628,0.97309,0.53403,1.7369,0.0036145,0.0036145,0.0036145
131,1.0661,0.72501,1.5371,10.663905,0.94171,0.93888,0.98162,0.80292,0.98673,0.54745,1.7459,0.003565,0.003565,0.003565
132,1.0634,0.72069,1.5412,10.647645,0.93758,0.95491,0.9833,0.80182,0.97608,0.53679,1.7266,0.0035155,0.0035155,0.0035155
133,1.0655,0.71429,1.5548,10.680595,0.92377,0.94806,0.98027,0.80472,0.98799,0.52929,1.7297,0.003466,0.003466,0.003466
