               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
99,1.279,0.93447,1.7155,12.632985,0.91591,0.93205,0.97636,0.77059,1.0863,0.62727,1.8129,0.005149,0.005149,0.005149
100,1.2883,0.93084,1.7373,12.73362,0.8982,0.95844,0.97771,0.7714,1.0857,0.60996,1.8,0.0050995,0.0050995,0.0050995
101,1.2795,0.93706,1.7129,12.63413,0.92347,0.93399,0.97627,0.76935,1.0683,0.63539,1.7789,0.00505,0.00505,0.00505
102,1.2607,0.92645,1.7091,12.482125,0.94492,0.92284,0.97713,0.77214,1.0724,0.61376,1.7867,0.0050005,0.0050005,0.0050005
103,1.3006,0.93572,1.7278,12.81406,0.92862,0.90954,0.97565,0.77243,1.0545,0.62302,1.7713,0.004951,0.004951,0.004951
104,1.2758,0.91617,1.6988,12.574785,0.90761,0.93888,0.97676,0.77527,1.0435,0.60807,1.7589,0.0049015,0.0049015,0.0049015
105,1.2724,0.91685,1.7086,12.564325,0.9452,0.91687,0.97624,0.77562,1.0489,0.61571,1.7668,0.004852,0.004852,0.004852
106,1.2593,0.89151,1.694,12.431505,0.92225,0.94132,0.97692,0.77505,1.069,0.60616,1.7894,0.0048025,0.0048025,0.0048025
107,1.2846,0.93058,1.7073,12.66074,0.91291,0.94831,0.98043,0.77411,1.0761,0.60826,1.7995,0.004753,0.004753,0.004753
108,1.2586,0.89982,1.6763,12.40386,0.91379,0.95888,0.97793,0.77334,1.0529,0.60973,1.7777,0.0047035,0.0047035,0.0047035
109,1.2753,0.92762,1.704,12.58456,0.93803,0.92519,0.97954,0.78423,1.0493,0.59791,1.7779,0.004654,0.004654,0.004654
110,1.2525,0.88895,1.6787,12.356275,0.92059,0.93536,0.9758,0.77577,1.0321,0.62116,1.7549,0.0046045,0.0046045,0.0046045
